input,output
تقسیم‌بندی قاره‌ی آمریکا به چه صورت است؟,این قاره به سه بخش آمریکای شمالی، آمریکای مرکزی و آمریکای جنوبی بخش می‌شود
مساحتش چقدر است؟,۸٫۳٪ از مساحت زمین و ۲۸٫۴٪ از مساحت خشکی‌ها
جمعیت آن چقدر است؟,۱ میلیارد نفر
چند درصد از جمعیت زمین میشود؟,۱۴٪ از جمعیت جهان
تقسیم‌بندی این جمعیت در شمال و جنوب و مرکز چطور است؟,غیرقابل‌پاسخ
طول قاره از شمال تا جنوب چقدر است؟,تقریبا ۱۴٬۵۰۰ کیلومتر
عرضش چقدر؟,غیرقابل‌پاسخ
آمریکای مرکزی کجاست؟,در جنوب کشور مکزیک، هفت کشور کوچک قرار دارد. گاهی مجموعه خاک این کشورهای کوچک را آمریکای مرکزی می‌نامند
چه اقیانوسی این قاره را از اروپا جدا میکند؟,اقیانوس اطلس
از آسیا چطور؟,اقیانوس آرام
این قاره به آسیا متصل است؟,در روزگار قدیم آمریکای شمالی به وسیلهٔ یک باریکه خشکی به قارهٔ آسیا متصل بود
سرخپوستان از اینجا به آمریکا آمدند؟,نیاکان سرخپوستان قارهٔ آمریکا نیز در آن زمان از همین باریکه از آسیا به قارهٔ آمریکا کوچیده بودند
داستان کتاب مسخ در مورد چیست؟,داستان در مورد بازاریاب جوانی به نام گرگور سامسا است که یک روز صبح از خواب بیدار می‌شود و متوجه می‌شود که به یک مخلوق نفرت‌انگیز حشره‌مانند تبدیل شده‌است
علت مسخ چیست؟,دلیل مسخ سامسا در طول داستان بازگو نمی‌شود و خود کافکا نیز هیچگاه در مورد آن توضیحی نداد
علت بیان نشدن چیست؟,داستان غم‌انگیز «گرگور سامسا» حاکی از بیگانگی با هنجارها است. گویی او خود می‌خواهد که بین تابعیت محض از اجتماع و مسخ شدن، مسخ شدن را برگزیند. در نتیجه می‌توان گفت که مسخ شدن گرگور نوعی فرار از واقعیت حاکم است
این کتاب اثر کیست؟,فرانتس کافکا
کتاب در اولین بار در کجا چاپ شد؟,لایپزیگ
لایپزیگ در کجاست؟,غیرقابل‌پاسخ
نویسنده‌ی ماجراهای تام سایر کیست؟,مارک تواین
داستان کتاب راجع‌به چیست؟,این کتاب دربارهٔ پسر نوجوانی به نام توماس (تام) سایر است که در شهر خیالی سن پترزبورگ، در کنارهٔ رود می‌سی‌سی‌پی زندگی می‌کند
منابع الهام این کتاب چیست؟,تام سایر ویژگی‌های سه بچه را که نویسنده با آن‌ها آشنایی داشت در وجود یک شخصیت خلاصه می‌کند
شخصیت تام سایر در کتاب چگونه است؟,غیرقابل‌پاسخ
این کتاب معروف است؟,این کتاب یکی از کتاب‌های کلاسیک جهان است
پرفروش بوده؟,ماجراهای تام سایر در ابتدای انتشار، یک شکست تجاری را برای نویسنده‌اش رقم زد اما در نهایت، بهترین فروش را در میان تمام آثار این نویسنده کسب کرد
به فارسی هم ترجمه شده؟,تاکنون توسط چند مترجم از جمله پرویز داریوش و محسن سلیمانی به فارسی برگردانده شده‌است
به چه زبان‌های دیگری ترجمه شده؟,غیرقابل‌پاسخ
سهراب سپهری متولد کجاست؟,قم
در همانجا ماند؟,اما زیاد در قم نماندند و به خوانسار و سپس به شهر آبا و اجدادیش یعنی کاشان نقل مکان کردند
اجدادش در کاشان اسم و رسمی داشتند؟,پدربزرگش میرزا نصرالله‌خان سپهری، نخستین رئیس تلگراف‌خانه کاشان بود
در همان کاشان دانشگاه رفت؟,دانشگاه تهران
در چه رشته‌ای؟,هنرهای زیبای
تحصیل ماقبل دانشگاه را هم در تهران بود؟,دورهٔ ابتدایی را در دبستان خیام کاشان (۱۳۱۹)، و متوسطه را در دبیرستان پهلوی کاشان گذراند و پس از فارغ‌التحصیلی در خرداد ۱۳۲۲ در دورهٔ دوسالهٔ دانش‌سرای مقدماتی پسران، به استخدام ادارهٔ فرهنگ کاشان درآمد. در شهریور ۱۳۲۷ در امتحانات ششم ادبی شرکت نمود و دیپلم دوره دبیرستان خود را دریافت کرد
در دانشگاه موفق بود؟,در سال ۱۳۳۲ از دانشکده هنرهای زیبا فارغ‌التحصیل شد و نشان درجه اول علمی را دریافت کرد
در دانشگاه ادامه تحصیل داد؟,غیرقابل‌پاسخ
اولین شعر نیمایی او چه بود؟,مرگ رنگ
در چه سالی آن را چاپ کرد؟,۱۳۳۰
سفرهای اروپا هم رفت؟,به کشورهای اروپایی سفر کرد
به کجاها؟,پاریس و لندن
در لندن چه کرد؟,غیرقابل‌پاسخ
در پاریس چطور؟,در مدرسهٔ هنرهای زیبای پاریس در رشتهٔ لیتوگرافی نام‌نویسی کرد
لیتوگرافی چیست؟,غیرقابل‌پاسخ
به مکان‌های غیر از اروپا چطور؟,سفرهایی به هندوستان، پاکستان، افغانستان، ژاپن و چین
شخصیت سپهری چگونه بود؟,جستجوگر، تنها، کمال طلب، فروتن و خجول بود که دیدگاه انسان مدارانه‌اش بسیار گسترده و فراگیر
این شخصیت او در اشعارش مشخص است؟,غیرقابل‌پاسخ
خانواده او هم اهل هنر بودند؟,هر دو اهل هنر و شعر بودند
چند کتاب از سپهری را بگویید؟,غیرقابل‌پاسخ
نیوکمپ در کجاست؟,شهر بارسلون در کشور اسپانیا
مال چه تیمی است؟,تیم فوتبال بارسلونا
بازی‌‌های دیگر در آنجا برگزار میشود؟,مسابقات بسیاری در رده‌های بالای بین‌المللی و فینال‌های لیگ قهرمانان اروپا
آخرین‌بار در چه سالی میزبان یک رقابن بین‌المللی بوده؟,۱۹۹۹
چه رقابتی؟,غیرقابل‌پاسخ
نام نیوکمپ از چه زمانی بر روی این ورزشگاه گذاشته شده؟,۲۰۰۰
این نام را چه کسی انتخاب کرده؟,با رای اعضای باشگاه مبنی بر تغییر نام آن به لقب محبوب نیوکمپ، این نام به عنوان نام رسمی ورزشگاه انتخاب شد
این ورزشگاه بازسازی شده است؟,طرح توسعه نیوکمپ از فصل ۲۰–۲۰۱۹ آغاز خواهد شد و در فصل ۲۲–۲۰۲۱ به بهره‌برداری خواهد رسید
ظرفیت ورزشگاه چقدر است؟,۹۹٫۳۵۴ نفر
مساحتش چقدر است؟,غیرقابل‌پاسخ
بازی‌های بارسلونا اتلتیک هم در همین ورزشگاه برگزار میشود؟,مینی استادی
به نیوکمپ نزدیک است؟,پشت ورزشگاه نیز محل قرار داشتن مینی استادی است
سد دز در کجاست؟,٢٣ کیلومتری شمال اندیمشک
اهمیت این سد چیست؟,این سد ۱۲۵۰۰۰ هکتار از اراضی پایین دست را آبیاری می‌کند و نقش مهمی در کنترل سیلاب‌های بالادستش دارد. نیروگاه این سد دارای قدرت نصب ۵۲۰ مگاوات می‌باشد
چه نوعی سدی محسوب میشود؟,بتنی برق‌آبی
چقدر آب را نگه میدارد؟,۳٫۳ میلیارد مترمکعب
طول سد چقدر است؟,غیرقابل‌پاسخ
آیا در جهان از این نظر رتبه‌دار است؟,غیرقابل‌پاسخ
ارتفاع آن چطور؟,۲۰۳ متر
از نظر ارتفاع در جهان چطور است؟,حال حاضر نیز پنجاهمین سد بلند دنیا در بین سدهای ساخته شده و در دست ساخت می‌باشد
این سد را ایرانی ‌ها ساخته‌اند؟,توسط یک کنسرسیوم ایتالیایی
در چه سالی؟,۱۳۴۱ خورشیدی
هزینه نهایی ساخت چقدر بوده؟,پنج میلیارد و پانصد میلیون ریال (معادل ۷۳٫۵ میلیون دلار)
